"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10"
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-25","8.95",,"0.03",,"0.0","0.0","40","43","36",,"  310","  310","18.1","28.0",,,,"    1",,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-26","4.70",,"0.00",,"0.0","0.0","40","50","32",,"  320","  270","14.1","23.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-27","6.49",,"0.00",,"0.0","0.0","44","62","28",,"  190","  270","16.1","25.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-28","12.08",,"0.00",,"0.0","0.0","54","70","40",,"  190","  180","25.9","35.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-02-29","5.82",,"0.00",,"0.0","0.0","60","67","45",,"  360","  280","18.1","25.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-01","10.07",,"0.56",,"0.0","0.0","53","66","36",,"  200","  190","23.9","33.1","    1",,"    1",,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-02","5.82",,"0.00",,"0.0","0.0","40","49","32",,"  330","  340","16.1","21.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-03","4.70",,"0.28",,"0.0","0.0","39","42","36",,"  140",,"15.0",,"    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-04","4.03",,"0.00",,"0.0","0.0","44","50","34",,"   30",,"12.1",,"    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-05","6.71",,"0.00",,"0.0","0.0","44","65","30",,"  320","  330","19.9","25.1","    1","    1",,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-06","4.25",,"0.00",,"0.0","0.0","49","66","33",,"  120","  120","12.1","14.1","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-07","11.18",,"0.00",,"0.0","0.0","58","72","50",,"  190","  190","25.1","30.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-08","9.84",,"0.00",,"0.0","0.0","63","76","51",,"  170","  180","19.9","25.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-09","13.20",,"0.01",,"0.0","0.0","68","77","60",,"  170","  150","30.0","38.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-10","9.40",,"0.93",,"0.0","0.0","70","76","62",,"  190","  180","25.1","33.1","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-11","5.82",,"0.07",,"0.0","0.0","60","62","56",,"  330","  330","12.1","16.1","    1","    1",,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-12","4.47",,"0.52",,"0.0","0.0","64","76","59",,"  190","  180","17.0","21.0","    1","    1",,,,,,,
